American Chemical|American Chemicals|8||||||||
AMSUD - Pasteur|AMSUD - Pasteur|1||||||||
AMSUD-Pasteur / Facultad de Ingeniería - UdelaR|AMSUD - Pasteur|1|Facultad de Ingeniería|1||||||
ANCAP|Administración Nacional de Combustibles Alcohol y Portland |4||||||||
ANCAP, Uruguay.|Administración Nacional de Combustibles Alcohol y Portland |4||||||||
ANDE - Agencia Nacional de Desarrollo|Agencia Nacional de Desarrollo|3||||||||
ANEP / PEDECIBA|Administración Nacional de Educación Pública |3|Programa de Desarrollo de las Ciencias Básicas|1||||||
ANEP-AGESIC|Administración Nacional de Educación Pública |3|Agencia de Gobierno Electrónico y Sociedad de la Información y del Conocimiento|3||||||
ANEP-Antel|Administración Nacional de Educación Pública |3|Administración Nacional de Telecomunicaciones|4||||||
ANEP-CND|Administración Nacional de Educación Pública |3|Corporación Nacional para el Desarrollo|3||||||
ANEP-DIEE|Departamento de Investigación y Estadística Educativa|3||||||||
ANEP-DIEE - AGESIC|Departamento de Investigación y Estadística Educativa|3|Agencia de Gobierno Electrónico y Sociedad de la Información y del Conocimiento|3||||||
ANEP-MEMFOD, Ministerio de Educación y Cultura|Programa de Modernización de la Educación Media y la Formación Docente |3||||||||
ANII|Agencia Nacional de Investigación e Innovación|3||||||||
ANII (FMV)|Agencia Nacional de Investigación e Innovación|3||||||||
ANII (no financiado)|Agencia Nacional de Investigación e Innovación|3||||||||
ANII - ALUR-ANCAP|Agencia Nacional de Investigación e Innovación|3|Alcoholes del Uruguay |4|Administración Nacional de Combustibles Alcohol y Portland |4||||
ANII - FIUM - FJR - FING/UDELAR|Agencia Nacional de Investigación e Innovación|3|Universidad de Montevideo|1|Fundación Julio Ricaldoni |1||||
ANII - IDl_X_2016_1_126768|Agencia Nacional de Investigación e Innovación|3||||||||
ANII - Ing. Manuel Berger|Agencia Nacional de Investigación e Innovación|3||||||||
ANII - Institut Pasteur Montevideo|Agencia Nacional de Investigación e Innovación|3|Institut Pasteur de Montevideo |2||||||
ANII / Unidad de Extensión de la Facultad de Ingeniería|Agencia Nacional de Investigación e Innovación|3|Facultad de Ingeniería|1||||||
ANII a potencial innovador|Agencia Nacional de Investigación e Innovación|3||||||||
ANII CLEMENTE ESTABLE|Agencia Nacional de Investigación e Innovación|3||||||||
ANII EQUIPAMIENTO CIENTIFICO DE PUNTA, proyecto código EQC_X_2013_1_06|Agencia Nacional de Investigación e Innovación|3||||||||
ANII parcialmente (beca de doctorado a Lucía Spangenberg)|Agencia Nacional de Investigación e Innovación|3||||||||
ANII y Lage y Cia|Agencia Nacional de Investigación e Innovación|3|Lage y Cía |5||||||
ANII y PRONDIL S. A.|Agencia Nacional de Investigación e Innovación|3|Prondil S.A. |5||||||
ANII, Artech|Agencia Nacional de Investigación e Innovación|3|Artech Consultores S.R.L |5||||||
ANII, COST Action, EU and IP|Agencia Nacional de Investigación e Innovación|3|COST Action|8||||||
ANII, Cropscanner SRL|Agencia Nacional de Investigación e Innovación|3|Crop Scanner SRL|5||||||
ANII, CSIC|Agencia Nacional de Investigación e Innovación|3|Comisión Sectorial de Investigación Científica|1||||||
ANII, CSIC, PEDECIBA|Agencia Nacional de Investigación e Innovación|3|Comisión Sectorial de Investigación Científica|1|Programa de Desarrollo de las Ciencias Básicas|1||||
ANII, Fundación Julio Ricaldoni|Agencia Nacional de Investigación e Innovación|3|Fundación Julio Ricaldoni |1||||||
ANII, INIA.|Agencia Nacional de Investigación e Innovación|3|Instituto Nacional de Investigación Agropecuaria |1||||||
ANII, LATU|Agencia Nacional de Investigación e Innovación|3|Laboratorio Tecnológico del Uruguay |1||||||
ANII, MEC|Agencia Nacional de Investigación e Innovación|3|Ministerio de Educación y Cultura|3||||||
ANII, PEDECIBA, Fundación IRAUy|Agencia Nacional de Investigación e Innovación|3|Programa de Desarrollo de las Ciencias Básicas|1|Fundación IRAUy|9||||
ANII, Proyecto Biovalor, Intendencia de San José|Agencia Nacional de Investigación e Innovación|3|Proyecto Biovalor|10|Intendencia de San José|3||||
ANII, Universidad Católica del Uruguay|Agencia Nacional de Investigación e Innovación|3|Universidad  Católica del Uruguay|1||||||
ANII- Empresa Prondil SA|Agencia Nacional de Investigación e Innovación|3|Prondil S.A. |5||||||
ANII-Iniciación Investigación|Agencia Nacional de Investigación e Innovación|3||||||||
ANII-UdelaR-PEDECIBA|Agencia Nacional de Investigación e Innovación|3|Programa de Desarrollo de las Ciencias Básicas|1||||||
ANII/MTOP-Vialidad/Facultad de Ciencias-UdelaR|Agencia Nacional de Investigación e Innovación|3|Ministerio de Transporte y Obras Públicas|3|Facultad de Ciencias|1||||
ANII; CSIC; ASOLUR|Agencia Nacional de Investigación e Innovación|3|Comisión Sectorial de Investigación Científica|1|ASOLUR|9||||
ANKA|ANKA|8||||||||
ANTEL|Administración Nacional de Telecomunicaciones|4||||||||
ANTEL - FACULTAD DE INGENIERÍA|Administración Nacional de Telecomunicaciones|4|Facultad de Ingeniería|1||||||
ANTEL : Administración NAcional de Telecomunicaciones - URUGUAY|Administración Nacional de Telecomunicaciones|4||||||||
ANTEL, Administración Nacional de Telecomunicaciones|Administración Nacional de Telecomunicaciones|4||||||||
ANTEL, UEFI|Administración Nacional de Telecomunicaciones|4||||||||
Anwary SA|Anwary SA |8||||||||
APEX|Programa Apex- Cerro |1||||||||
APOTEKNOS DERMA|Apoteknos Derma|8||||||||
Architectural Association, UK|Architectural Association School of Architecture|2||||||||
Archmedium|Archmedium|8||||||||
Área Básica del Departamento de Neonatología - Universidad de la República|Universidad de la República|1||||||||
Arquitecturas Colectivas|Arquitecturas Colectivas|9||||||||
Arte Quesero S.R.L|Arte Quesero SRL|5||||||||
Arte, café, libros, ETC. Toluca|Arte, café, libros, ETC|8||||||||
ARU - INML  - SCHU - FAGRO - INIA - INALE|Asociación Rural del Uruguay|51|Facultad de Agronomía|1|Instituto Nacional de Investigación Agropecuaria |1|Instituto Nacional de la Leche|3||
ARU-INML-SCHU-FAGRO-INIA|Asociación Rural del Uruguay|51|Facultad de Agronomía|1|Instituto Nacional de Investigación Agropecuaria |1||||
Asociación de la Prensa del Uruguay|Asociación de la Prensa del Uruguay|9||||||||
Asociacion de Porudctores dePapa semilla de San Jose|Asociación de Productores de Papa|51||||||||
Asociación Honoraria de Salvamentos Marítimos y Fluviales (ADES)|Asociación Honoraria de Salvamentos Marítimos y Fluviales|9||||||||
Asociación Italia-Nicaragua|Asociación Italia-Nicaragua|9||||||||
Asociación Nacional de Telecomunicaciones (ANTEL), Unidad de Extensión de la Facultad de Ingeniería (UEFI)|Administración Nacional de Telecomunicaciones|4|Facultad de Ingeniería|1||||||
Asociación Uruguaya de Antropología Social|Asociación Uruguaya de Antropología Social|9||||||||
Asociación Uruguaya de Colegios Católicos (AUDEC)|Asociación Uruguaya de Colegios Católicos|9||||||||
ASSE|Administración de los Servicios de Salud del Estado |3||||||||
Associazione Italia-Nicaragua|Asociación Italia-Nicaragua|9||||||||
ATGen Sistemas Moleculares|ATGen|5||||||||
ATgen Sistemas Moleculares / Proyecto PDT S/E/INI/06/054|ATGen|5|Dirección de Innovación, Ciencia y Tecnología |3||||||
autopublicación||||||||||
AVEX S.A.|Avex SA|8||||||||
